ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,0.37397550375320293,-2.039551308185053,0.4360999299440451
1,28.603227748872033,-2.608637298613633,-0.3427878941187295
2,1.9474735597741608,-0.10529259204600432,1.0924209638758884
3,3.8404096981101676,-3.5682521544583783,-0.9810063681866226
4,1.0791933921347425,1.2350580594737355,-0.5946154777899151
5,-0.3705805040335304,1.279524412526942,-5.728817165932127
6,-1.4021818829610693,4.23553790182137,-10.158348516282294
7,-3.257158261964769,14.171572232909824,-9.080200304121966
8,3.6997660446593774,-6.581490250537149,0.7262158373868841
9,9.163707044338523,-1.0691058270948692,0.4491526835881479
10,4.71218865141076,-2.8787296606896766,2.201946489105516
11,1.8567224092627528,-2.339277778860739,1.3288648236853609
12,4.625438949892651,-4.069021395904194,1.3145988528417938
13,9.80710041262758,-0.24938144538647972,-1.0545706513377697
14,5.14028096962829,-0.1878614543360027,0.6040381899530172
