ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,-0.09713870199941828,1.545243124423377,0.08512247944135332
1,40.59334268447166,-2.918738296831333,-0.11575820759391817
2,3.3740552739190464,-0.9121943644610789,-0.2666495620345644
3,5.57924805732942,-5.705755362006474,-1.3089037490355215
4,2.2880651873057944,-0.7943330513429308,0.08034816685144336
5,0.4562351979017194,1.2036677409843646,-6.3102690718052825
6,0.44857587797836507,3.7559173261900796,-11.241828315330842
7,-5.090132158069247,15.804009119200767,-8.70211205867403
8,2.1522246352731855,-2.950978472545049,-1.637650995736104
9,9.11133050182545,-0.9686885454846206,1.4944090421255105
10,3.9258335506788784,-2.3483323354233616,3.7518769310575952
11,1.2917261580933361,-0.6962091975607593,1.3060122486679706
12,2.7827589190511053,-2.9284269446563584,1.8320896741715134
13,9.427635796979487,-2.950137531829203,-1.2266771673361634
14,3.5222734529423274,-1.4027802670474454,0.23529914808917543
