ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,0.37731335490309,-3.8801356468058437,1.7822427973071124
1,6.891765819721016,-2.0363035050842724,1.8104824989704094
2,-0.6495881507661918,-0.3998877120800116,1.652794628680335
3,-0.8337083477328638,-1.1918942413486346,2.7157205104539623
4,-1.1049449493031926,-1.9125862159381881,1.7241943873581627
5,-2.1903210870216574,5.029759196814668,0.06592174941156183
6,-0.1567739216754466,-1.9330596876631914,-1.2976213332208244
7,-2.405083074740974,-1.9388910327087179,0.40037610789532635
8,4.197179495207471,6.254244849378813,-3.6348456469113275
9,-1.5389983672629575,0.21938021562935459,0.8804943641468902
10,-0.03580266469950958,0.2611161635424645,0.37336721590928984
11,-0.4854092009141189,-1.813116825835963,-0.21538127755712366
12,-0.2262750592885533,2.863228920074751,-0.34978567539559036
13,-3.433649498112822,3.201474423764348,-0.8656196362390919
14,1.8613484669374363,-0.3432366743283314,-0.8687840999058734
