ROI,AverageControllability_zscore,ModalControllability_zscore,MinControlEnergy_zscore
0,2.3986222426259065,-1.9394296466920165,0.745506486720139
1,41.329906032179615,-3.24667868086385,-0.7384525520667713
2,0.8438812875164123,-0.4540548993256441,0.08277343048043119
3,9.33846252307142,-4.761207652280427,-0.17000247782470998
4,0.13673527013894113,0.033572030003937395,-1.2058202617554263
5,-0.7778614282308509,4.125049924907242,-9.018894030048818
6,-0.1111046591156768,1.5105237229836672,-10.43886584124149
7,-1.1728271493251445,11.629667342674287,-10.887023193201424
8,7.3070256476169675,-9.680009782144774,-1.1310342603936407
9,20.519934392840277,-1.6093270691389014,0.5537850882129213
10,5.178566691717583,-1.6162672919703776,0.5855128932880939
11,6.7597133785782875,-2.8811377335179342,0.763043952240634
12,5.154977858947277,-3.75574724573749,1.0429306051186356
13,18.503014984359083,-1.3745776300088148,-0.8707293294074766
14,7.88345950057796,-2.3996550876963187,-1.0882383506292825
